Age,Gender,1,2,3,4,5,6,7,8,A1,9,10,11,12,13,14,15,16,17,A2,18,19,20,21,22,23,24,25,26,A3,27,28,29,30,31,32,33,34,35,A4,36,37,38,39,40,41,42,43,44,A5,45,46,47,48,49,50,51,52,A6,Feedback,Time,AnonymizedID
42,Mujer,1,0,3,1,2,0,3,1,El agua está caliente,3,3,2,0,0,3,0,1,1,Los trenes son rápidos,2,0,1,3,1,2,2,3,3,Voy a cocinar arroz,0,2,1,1,2,1,2,1,3,La luna brilla,0,3,2,3,3,1,3,3,3,Hace frío,2,0,0,1,3,2,3,1,Estoy escribiendo un poema,,3010,ID11
24,Hombre,1,3,3,0,2,0,3,0,El agua está caliente,3,3,2,1,0,3,0,0,1,Los trenes son rápidos,2,3,0,3,1,0,2,3,3,Voy a cocinar arroz,2,3,0,1,2,1,0,1,3,La luna brilla,0,1,2,3,3,1,3,3,3,Hace frío,1,1,3,1,3,2,3,1,Estoy escribiendo un poema,No,1428,ID12
29,Hombre,1,0,1,3,2,2,2,2,El agua está caliente,3,3,2,0,0,3,0,1,2,Los trenes son rápidos,2,1,1,2,1,0,2,3,3,Voy a cocinar arroz,3,2,1,1,2,1,3,1,3,La luna brilla,0,1,0,3,3,1,3,3,3,Hace frío,3,2,1,1,3,2,2,1,Estoy escribiendo un poema,,671,ID13
32,Hombre,0,1,3,3,2,0,3,1,El agua está caliente,3,3,2,0,0,3,0,0,1,Los trenes son rápidos,0,0,1,2,1,2,2,3,3,Voy a cocinar arroz,0,2,0,1,2,1,0,1,3,La luna brilla,0,2,1,3,0,1,3,3,3,Hace frío,2,0,0,1,3,2,3,1,Estoy escribiendo un poema,,3557,ID14
29,Mujer,0,0,3,3,2,2,3,1,El agua está caliente,3,3,2,1,0,3,0,0,1,Los trenes son rápidos,2,0,1,3,1,2,2,3,3,Voy a cocinar arroz,2,2,1,1,0,3,0,3,1,La luna brilla,0,0,2,3,0,1,3,0,2,Hace frío,3,0,3,1,3,2,3,0,Estoy escribiendo un poema,,1115,ID15
34,Hombre,0,1,3,2,2,3,3,0,El agua está caliente,3,3,2,0,0,3,0,0,1,Los trenes son rápidos,0,0,1,3,1,0,2,3,1,Voy a cocinar arroz,0,2,1,1,2,1,3,3,3,La luna brilla,0,2,2,3,2,1,3,3,3,Hace frío,3,2,3,1,3,2,3,3,Estoy escribiendo un poema,"Algunas respuestas me han costado mucho de responder debido a que el texto o bien ha sido generado por IA o es algun tipo de traduccion automatica, ya que había muchos errores gramaticales o construcciones verbales inusuales en lengua española. Del mismo modo, el enunciado ""no pertenece a los demás"" es confuso",1756,ID16
61,Hombre,1,1,2,0,2,3,2,3,El agua está caliente,3,3,2,0,0,3,0,0,1,Los trenes son rápidos,2,0,1,2,1,0,2,3,3,Voy a cocinar arroz,0,2,0,1,2,1,3,1,3,La luna brilla,0,1,0,3,3,1,3,3,3,Hace frío,2,1,3,1,3,2,3,1,Estoy escribiendo un poema,,1958,ID17
30,Mujer,3,3,3,3,2,0,2,1,El agua está caliente,3,3,2,0,0,3,0,0,1,Los trenes son rápidos,2,0,1,2,0,0,2,3,0,Voy a cocinar arroz,0,2,0,1,2,1,0,1,3,La luna brilla,0,1,2,3,0,1,3,3,3,Hace frío,1,1,1,1,3,2,3,1,Estoy escribiendo un poema,No.,961,ID18
39,Mujer,0,0,3,0,2,2,2,2,El agua está caliente,3,3,2,1,0,3,0,2,1,Los trenes son rápidos,2,0,1,2,0,2,2,3,1,Voy a cocinar arroz,0,2,1,1,2,1,3,3,3,La luna brilla,0,1,0,3,0,1,3,1,3,Hace frío,3,1,3,1,3,2,3,0,Estoy escribiendo un poema,"sí, pues hay unas cuantas preguntas que no son claras y con más de una pregunta que no pertenece.",1119,ID19
48,Mujer,0,0,3,3,2,2,2,0,El agua está caliente,3,3,2,0,0,3,0,0,1,Los trenes son rápidos,2,3,1,3,3,2,2,3,3,Voy a cocinar arroz,0,2,1,1,0,1,2,3,3,La luna brilla,0,2,2,3,0,1,0,3,3,Hace frío,3,0,3,1,3,2,3,1,Estoy escribiendo un poema,,1139,ID20
